"","1","2","3","4","5","6","7","8","9"
"512","MIL","MIL","MIL",NA,NA,NA,NA,NA,NA
"513","TOR","TOR","TOR","DET","DET",NA,NA,NA,NA
"514","TBA","TBA","KCA","KCA","KCA",NA,NA,NA,NA
"515","CHA","CHA","CHA","CHA","BAL","BAL","BOS","SFN",NA
"516","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"517","SDN","PIT","PIT",NA,NA,NA,NA,NA,NA
"518","SDN","MIN","MIN","MIN","HOU","HOU",NA,NA,NA
"519","PHI","PHI","PHI","PHI","PHI",NA,NA,NA,NA
"520","NYN","NYN",NA,NA,NA,NA,NA,NA,NA
"521","OAK","CHN","CHN","WAS","TBA","TBA","TBA","LAA",NA
"522","LAN","LAN","BOS","CIN",NA,NA,NA,NA,NA
"523","SEA","SEA","TOR","TOR","TOR","TOR",NA,NA,NA
"524","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"525","TBA",NA,NA,NA,NA,NA,NA,NA,NA
"526","TBA","TBA","LAA","LAA",NA,NA,NA,NA,NA
"527","ARI","ARI",NA,NA,NA,NA,NA,NA,NA
"528","COL","COL","COL","COL","COL",NA,NA,NA,NA
"529","LAN","LAN","BOS","BOS","ARI",NA,NA,NA,NA
"530","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"531","HOU","HOU",NA,NA,NA,NA,NA,NA,NA
"532","ATL","ATL","ARI","ARI","ARI",NA,NA,NA,NA
"533","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"534","OAK","OAK",NA,NA,NA,NA,NA,NA,NA
"535","HOU","HOU",NA,NA,NA,NA,NA,NA,NA
"536","ARI","ARI",NA,NA,NA,NA,NA,NA,NA
"537","CHN","CHN","TEX","BOS",NA,NA,NA,NA,NA
"538","NYN","NYN","WAS",NA,NA,NA,NA,NA,NA
"539","CIN",NA,NA,NA,NA,NA,NA,NA,NA
"540","SDN","SDN","SDN","SDN","SEA","CHN",NA,NA,NA
"541","NYA",NA,NA,NA,NA,NA,NA,NA,NA
"542","SFN","WAS","TOR",NA,NA,NA,NA,NA,NA
"543","SLN","SLN","SLN","SLN","COL",NA,NA,NA,NA
"544","MIA","CIN",NA,NA,NA,NA,NA,NA,NA
"545","TEX",NA,NA,NA,NA,NA,NA,NA,NA
"546","WAS","WAS","WAS","WAS","WAS",NA,NA,NA,NA
"547","SDN","SDN",NA,NA,NA,NA,NA,NA,NA
"548","WAS","WAS","WAS","WAS","TEX","ATL",NA,NA,NA
"549","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"550","MIN","MIN",NA,NA,NA,NA,NA,NA,NA
"551","CHN","CHN","ATL",NA,NA,NA,NA,NA,NA
"552","MIN","MIN","MIN",NA,NA,NA,NA,NA,NA
"553","PIT",NA,NA,NA,NA,NA,NA,NA,NA
"554","LAA","COL",NA,NA,NA,NA,NA,NA,NA
"555","BOS","TOR","TOR",NA,NA,NA,NA,NA,NA
"556","CLE",NA,NA,NA,NA,NA,NA,NA,NA
"557","CIN","CIN",NA,NA,NA,NA,NA,NA,NA
"558","PIT","ATL","ATL","MIA",NA,NA,NA,NA,NA
"559","SDN",NA,NA,NA,NA,NA,NA,NA,NA
"560","NYA","NYA","BAL","CLE",NA,NA,NA,NA,NA
"561","COL","COL","COL",NA,NA,NA,NA,NA,NA
"562","NYN","NYN","TOR","TOR","TOR",NA,NA,NA,NA
"563","SLN","SLN",NA,NA,NA,NA,NA,NA,NA
"564","PHI","PHI","PHI","PHI","TEX",NA,NA,NA,NA
"565","MIA","MIA","MIA",NA,NA,NA,NA,NA,NA
"566","MIL",NA,NA,NA,NA,NA,NA,NA,NA
"567","WAS",NA,NA,NA,NA,NA,NA,NA,NA
"568","MIL","MIL",NA,NA,NA,NA,NA,NA,NA
"569","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"570","DET","DET","DET",NA,NA,NA,NA,NA,NA
"571","FLO","MIA","MIA","MIA","WAS",NA,NA,NA,NA
"572","CHN","CHN","CHN",NA,NA,NA,NA,NA,NA
"573","SFN","CIN",NA,NA,NA,NA,NA,NA,NA
"574","LAN","LAN","TBA",NA,NA,NA,NA,NA,NA
"575","FLO","HOU","HOU","HOU",NA,NA,NA,NA,NA
"576","CLE","CLE",NA,NA,NA,NA,NA,NA,NA
"577","OAK","OAK","OAK","TOR",NA,NA,NA,NA,NA
"578","OAK","OAK","OAK","OAK",NA,NA,NA,NA,NA
"579","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"580","TOR","SLN","DET","DET",NA,NA,NA,NA,NA
"581","BOS","BOS","BOS","BOS","CHN","TOR","OAK",NA,NA
"582","PIT","MIN","MIN","ATL",NA,NA,NA,NA,NA
"583","DET","DET","HOU",NA,NA,NA,NA,NA,NA
"584","HOU","HOU",NA,NA,NA,NA,NA,NA,NA
"585","LAA","LAA","LAA","ATL","CHA","KCA",NA,NA,NA
"586","MIN","MIN","MIN","MIN",NA,NA,NA,NA,NA
"587","TOR","TOR","TOR","TOR","CHA",NA,NA,NA,NA
"588","BAL",NA,NA,NA,NA,NA,NA,NA,NA
"589","BOS",NA,NA,NA,NA,NA,NA,NA,NA
"590","ARI","ARI","OAK","BOS","BOS","NYA","NYA",NA,NA
"591","ARI",NA,NA,NA,NA,NA,NA,NA,NA
"592","NYN","NYN","NYN","NYN","NYN",NA,NA,NA,NA
"593","MIN","MIN","MIN","MIN","MIN",NA,NA,NA,NA
"594","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"595","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"596","SFN","SFN",NA,NA,NA,NA,NA,NA,NA
"597","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"598","ARI","WAS","WAS","CIN","MIL","CHA",NA,NA,NA
"599","OAK",NA,NA,NA,NA,NA,NA,NA,NA
"600","MIN",NA,NA,NA,NA,NA,NA,NA,NA
"601","CLE","CLE","TBA",NA,NA,NA,NA,NA,NA
"602","CHA","CHA","CHA","CHA","OAK",NA,NA,NA,NA
"603","SFN","SFN",NA,NA,NA,NA,NA,NA,NA
"604","FLO","MIA","MIA","MIA","MIA",NA,NA,NA,NA
"605","HOU",NA,NA,NA,NA,NA,NA,NA,NA
"606","CLE","ATL","PHI",NA,NA,NA,NA,NA,NA
"607","SFN","CIN",NA,NA,NA,NA,NA,NA,NA
"608","KCA",NA,NA,NA,NA,NA,NA,NA,NA
"609","TBA",NA,NA,NA,NA,NA,NA,NA,NA
"610","KCA","KCA","KCA","KCA","KCA",NA,NA,NA,NA
"611","TOR","MIA","MIA","MIA","TEX",NA,NA,NA,NA
"612","SLN",NA,NA,NA,NA,NA,NA,NA,NA
"613","ARI","ARI","CHA","CHA",NA,NA,NA,NA,NA
"614","NYN","NYN","NYN",NA,NA,NA,NA,NA,NA
"615","SFN","SFN",NA,NA,NA,NA,NA,NA,NA
"616","CHN",NA,NA,NA,NA,NA,NA,NA,NA
"617","TEX","TEX","SDN",NA,NA,NA,NA,NA,NA
"618","NYN",NA,NA,NA,NA,NA,NA,NA,NA
"619","PHI",NA,NA,NA,NA,NA,NA,NA,NA
