"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20230901","수인선","숭의","4518","4184","20230904",""
"20230901","수인선","신포","2113","2201","20230904",""
"20230901","수인선","인천","1166","1863","20230904",""
"20230901","신림선","샛강","3186","3648","20230904",""
"20230901","신림선","대방","3216","2275","20230904",""
"20230901","신림선","서울지방병무청","3390","3488","20230904",""
"20230901","안산선","한대앞","11358","11303","20230904",""
"20230901","안산선","고잔","9893","9443","20230904",""
"20230901","안산선","초지","5840","6062","20230904",""
"20230901","안산선","안산","12951","12063","20230904",""
"20230901","안산선","신길온천","2225","2122","20230904",""
"20230901","안산선","정왕","11793","11627","20230904",""
"20230901","안산선","오이도","9318","9605","20230904",""
"20230901","안산선","수리산","4829","3853","20230904",""
"20230901","우이신설선","북한산우이","3275","3026","20230904",""
"20230901","우이신설선","솔밭공원","2997","2782","20230904",""
"20230901","우이신설선","4.19민주묘지","3926","3667","20230904",""
"20230901","우이신설선","가오리","4897","4817","20230904",""
"20230901","우이신설선","화계","4056","3799","20230904",""
"20230901","우이신설선","삼양","2296","2353","20230904",""
"20230901","우이신설선","삼양사거리","2922","2847","20230904",""
"20230901","우이신설선","솔샘","6846","6362","20230904",""
"20230901","우이신설선","북한산보국문","7119","6694","20230904",""
"20230901","우이신설선","정릉","5528","4862","20230904",""
"20230901","우이신설선","성신여대입구(돈암)","4020","4456","20230904",""
"20230901","우이신설선","보문","1818","1764","20230904",""
"20230901","우이신설선","신설동","2638","2559","20230904",""
"20230901","일산선","원흥","13005","12349","20230904",""
"20230901","일산선","지축","1","0","20230904",""
"20230901","일산선","삼송","21701","20856","20230904",""
"20230901","일산선","원당","12577","11777","20230904",""
"20230901","일산선","화정","19363","20151","20230904",""
"20230901","일산선","대곡","3180","2427","20230904",""
"20230901","일산선","백석","11303","11477","20230904",""
"20230901","일산선","마두","9121","9361","20230904",""
"20230901","일산선","정발산","8918","9416","20230904",""
"20230901","일산선","주엽","11072","11521","20230904",""
"20230901","일산선","대화","15054","12113","20230904",""
"20230901","장항선","봉명","1451","1428","20230904",""
"20230901","장항선","쌍용(나사렛대)","2550","2443","20230904",""
"20230901","장항선","아산","5157","4814","20230904",""
"20230901","장항선","탕정","1686","1465","20230904",""
"20230901","장항선","배방","1410","1277","20230904",""
"20230901","장항선","온양온천","4593","4902","20230904",""
"20230901","장항선","신창(순천향대)","3666","2118","20230904",""
"20230901","중앙선","회기","30689","28480","20230904",""
"20230901","중앙선","중랑","6414","6043","20230904",""
"20230901","중앙선","상봉(시외버스터미널)","6694","6270","20230904",""
"20230901","중앙선","망우","8906","8795","20230904",""
"20230901","중앙선","양원","3665","3404","20230904",""
"20230901","중앙선","구리","14867","15362","20230904",""
"20230901","중앙선","도농","12732","11597","20230904",""
"20230901","중앙선","양정","728","608","20230904",""
"20230901","중앙선","덕소","6221","6159","20230904",""
"20230901","중앙선","도심","2776","2123","20230904",""
"20230901","중앙선","팔당","931","959","20230904",""
"20230901","중앙선","운길산","792","810","20230904",""
"20230901","중앙선","양수","2265","2335","20230904",""
"20230901","중앙선","신원","228","211","20230904",""
"20230901","중앙선","국수","851","861","20230904",""
"20230901","중앙선","아신","715","691","20230904",""
"20230901","중앙선","오빈","357","370","20230904",""
"20230901","중앙선","양평","3262","3610","20230904",""
"20230901","중앙선","원덕","375","445","20230904",""
"20230901","중앙선","용문","2134","2258","20230904",""
"20230901","중앙선","지평","65","94","20230904",""
"20230901","8호선","몽촌토성(평화의문)","7096","7236","20230904",""
"20230901","8호선","강동구청","11950","12057","20230904",""
"20230901","8호선","천호(풍납토성)","16557","19372","20230904",""
"20230901","8호선","암사","21002","18253","20230904",""
"20230901","7호선","온수(성공회대입구)","11899","10880","20230904",""
"20230901","7호선","천왕","13142","12474","20230904",""
"20230901","7호선","광명사거리","22775","22796","20230904",""
"20230901","7호선","철산","23884","24471","20230904",""
"20230901","7호선","가산디지털단지","50109","50104","20230904",""
"20230901","7호선","남구로","16638","17318","20230904",""
"20230901","7호선","대림(구로구청)","8796","8960","20230904",""
"20230901","7호선","신풍","12385","11690","20230904",""
"20230901","7호선","보라매","7903","7997","20230904",""
"20230901","7호선","신대방삼거리","17056","15873","20230904",""
"20230901","7호선","장승배기","10671","10401","20230904",""
"20230901","7호선","상도","13970","13454","20230904",""
"20230901","7호선","숭실대입구(살피재)","16953","17006","20230904",""
"20230901","7호선","남성","13402","12046","20230904",""
"20230901","7호선","이수","18048","17693","20230904",""
"20230901","7호선","내방","16582","16880","20230904",""
"20230901","7호선","고속터미널","20150","16208","20230904",""
"20230901","2호선","선릉","64125","56615","20230904",""
"20230901","7호선","반포","7027","6709","20230904",""
"20230901","7호선","논현","20355","20657","20230904",""
"20230901","7호선","학동","26134","27633","20230904",""
"20230901","7호선","강남구청","18521","20994","20230904",""
"20230901","7호선","청담","21657","23819","20230904",""
"20230901","7호선","뚝섬유원지","12140","11534","20230904",""
"20230901","7호선","건대입구","15103","15867","20230904",""
"20230901","7호선","어린이대공원(세종대)","18606","18570","20230904",""
"20230901","7호선","군자(능동)","17089","13375","20230904",""
"20230901","7호선","중곡","12244","11508","20230904",""
"20230901","7호선","용마산(용마폭포공원)","6573","6334","20230904",""
"20230901","7호선","사가정","18126","18259","20230904",""
"20230901","7호선","면목","17840","16934","20230904",""
"20230901","7호선","상봉(시외버스터미널)","18886","18635","20230904",""
"20230901","7호선","중화","12102","11629","20230904",""
"20230901","7호선","먹골","11564","11130","20230904",""
"20230901","7호선","태릉입구","10518","10022","20230904",""
"20230901","7호선","공릉(서울과학기술대)","13419","13188","20230904",""
"20230901","7호선","하계","20099","18653","20230904",""
"20230901","7호선","중계","16940","15131","20230904",""
"20230901","7호선","노원","23117","24376","20230904",""
"20230901","7호선","마들","14827","13664","20230904",""
"20230901","7호선","수락산","13884","13634","20230904",""
"20230901","7호선","도봉산","10437","12160","20230904",""
"20230901","7호선","장암","2846","1218","20230904",""
"20230901","6호선","봉화산(서울의료원)","10048","9435","20230904",""
"20230901","6호선","화랑대(서울여대입구)","13691","10463","20230904",""
"20230901","6호선","태릉입구","6493","7180","20230904",""
"20230901","6호선","석계","13891","14319","20230904",""
"20230901","6호선","돌곶이","11423","10310","20230904",""
"20230901","6호선","상월곡(한국과학기술연구원)","7195","6539","20230904",""
"20230901","6호선","월곡(동덕여대)","14237","13498","20230904",""
"20230901","6호선","고려대(종암)","10075","9516","20230904",""
"20230901","6호선","안암(고대병원앞)","14589","14332","20230904",""
"20230901","6호선","보문","8869","8028","20230904",""
"20230901","6호선","창신","4099","3421","20230904",""
"20230901","6호선","동묘앞","8994","9025","20230904",""
"20230901","6호선","신당","10663","10075","20230904",""
"20230901","6호선","청구","4409","4409","20230904",""
"20230901","6호선","약수","4366","4313","20230904",""
"20230901","6호선","버티고개","2539","2499","20230904",""
"20230901","6호선","한강진","10933","12926","20230904",""
"20230901","6호선","이태원","13376","17662","20230904",""
"20230901","6호선","녹사평(용산구청)","5752","5905","20230904",""
"20230901","6호선","삼각지","8503","7386","20230904",""
"20230901","6호선","효창공원앞","8432","7619","20230904",""
"20230901","6호선","공덕","21780","21240","20230904",""
"20230901","6호선","대흥(서강대앞)","10883","11211","20230904",""
"20230901","6호선","광흥창(서강)","10623","10236","20230904",""
"20230901","6호선","상수","11891","14453","20230904",""
"20230901","6호선","합정","15145","15625","20230904",""
"20230901","6호선","망원","16776","18182","20230904",""
"20230901","6호선","마포구청","16300","14365","20230904",""
"20230901","6호선","월드컵경기장(성산)","4711","4942","20230904",""
"20230901","6호선","디지털미디어시티","16374","17795","20230904",""
"20230901","6호선","증산(명지대앞)","10958","10695","20230904",""
"20230901","6호선","새절(신사)","14521","13263","20230904",""
"20230901","6호선","구산","9142","6798","20230904",""
"20230901","6호선","독바위","3177","3290","20230904",""
"20230901","6호선","불광","5059","4801","20230904",""
"20230901","6호선","역촌","4369","5005","20230904",""
"20230901","6호선","응암","19617","18982","20230904",""
"20230901","5호선","하남검단산","6965","6636","20230904",""
"20230901","5호선","하남시청(덕풍·신장)","8773","8454","20230904",""
"20230901","5호선","하남풍산","5144","5097","20230904",""
"20230901","5호선","미사","19283","20064","20230904",""
"20230901","5호선","강일","6470","5828","20230904",""
"20230901","5호선","마천","8428","7812","20230904",""
"20230901","5호선","거여","11754","11334","20230904",""
"20230901","5호선","개롱","7527","7740","20230904",""
"20230901","5호선","오금","4271","4179","20230904",""
"20230901","5호선","방이","8037","8495","20230904",""
"20230901","5호선","올림픽공원(한국체대)","5410","4504","20230904",""
"20230901","5호선","둔촌동","9998","10036","20230904",""
"20230901","5호선","상일동","16443","15320","20230904",""
"20230901","5호선","고덕","11726","11305","20230904",""
"20230901","5호선","명일","10366","10260","20230904",""
"20230901","5호선","굽은다리(강동구민회관앞)","10946","10369","20230904",""
"20230901","5호선","길동","9181","9451","20230904",""
"20230901","5호선","강동","20327","19330","20230904",""
"20230901","5호선","천호(풍납토성)","21255","21413","20230904",""
"20230901","5호선","광나루(장신대)","16227","14696","20230904",""
"20230901","5호선","아차산(어린이대공원후문)","16360","15717","20230904",""
"20230901","5호선","군자(능동)","12981","14425","20230904",""
"20230901","5호선","장한평","21360","21006","20230904",""
"20230901","5호선","답십리","17757","16051","20230904",""
"20230901","5호선","마장","6772","6202","20230904",""
"20230901","5호선","왕십리(성동구청)","5142","6006","20230904",""
"20230901","5호선","행당","9270","8108","20230904",""
"20230901","5호선","신금호","7327","7505","20230904",""
"20230901","5호선","청구","4479","4249","20230904",""
"20230901","5호선","동대문역사문화공원(DDP)","3592","4131","20230904",""
"20230901","5호선","을지로4가","7608","7918","20230904",""
"20230901","5호선","종로3가","16262","17219","20230904",""
"20230901","5호선","광화문(세종문화회관)","36772","38697","20230904",""
"20230901","5호선","서대문","22766","22652","20230904",""
"20230901","5호선","충정로(경기대입구)","5139","5298","20230904",""
"20230901","5호선","애오개","7746","7484","20230904",""
"20230901","5호선","공덕","16365","17262","20230904",""
"20230901","5호선","마포","16544","16900","20230904",""
"20230901","5호선","여의나루","18509","19419","20230904",""
"20230901","5호선","여의도","31825","34561","20230904",""
"20230901","5호선","신길","5231","5154","20230904",""
"20230901","5호선","영등포시장","12313","12431","20230904",""
"20230901","5호선","영등포구청","5190","5001","20230904",""
"20230901","5호선","양평","8415","7978","20230904",""
"20230901","5호선","오목교(목동운동장앞)","24081","26157","20230904",""
"20230901","5호선","목동","18818","20169","20230904",""
"20230901","5호선","신정(은행정)","15386","12459","20230904",""
"20230901","5호선","까치산","31586","29784","20230904",""
"20230901","5호선","화곡","32281","29580","20230904",""
"20230901","5호선","우장산","16865","16450","20230904",""
"20230901","5호선","발산","23778","25176","20230904",""
"20230901","5호선","마곡","12930","13414","20230904",""
"20230901","5호선","송정","7119","6794","20230904",""
"20230901","5호선","김포공항","9596","7581","20230904",""
"20230901","5호선","개화산","6635","6281","20230904",""
"20230901","5호선","방화","7739","7398","20230904",""
"20230901","4호선","남태령","1591","1195","20230904",""
"20230901","4호선","사당","30321","26799","20230904",""
"20230901","4호선","총신대입구(이수)","21771","23619","20230904",""
"20230901","4호선","동작(현충원)","2151","2347","20230904",""
"20230901","4호선","이촌(국립중앙박물관)","10066","10922","20230904",""
"20230901","4호선","신용산","23001","25034","20230904",""
"20230901","4호선","삼각지","7049","8002","20230904",""
"20230901","4호선","숙대입구(갈월)","16437","16128","20230904",""
"20230901","4호선","서울역","14404","24185","20230904",""
"20230901","4호선","회현(남대문시장)","29650","31050","20230904",""
"20230901","4호선","명동","35073","37765","20230904",""
"20230901","4호선","충무로","34229","35719","20230904",""
"20230901","4호선","동대문역사문화공원(DDP)","20441","17452","20230904",""
"20230901","4호선","동대문","22760","22541","20230904",""
"20230901","4호선","혜화","40515","40208","20230904",""
"20230901","4호선","한성대입구(삼선교)","16263","15253","20230904",""
"20230901","4호선","성신여대입구(돈암)","24561","23797","20230904",""
"20230901","4호선","길음","24594","23741","20230904",""
"20230901","4호선","미아사거리","29768","29272","20230904",""
"20230901","4호선","미아(서울사이버대학)","17611","17047","20230904",""
"20230901","4호선","수유(강북구청)","37947","38579","20230904",""
"20230901","4호선","쌍문","32477","29841","20230904",""
"20230901","4호선","창동","29044","30805","20230904",""
"20230901","4호선","노원","21505","25823","20230904",""
"20230901","4호선","상계","22305","20741","20230904",""
"20230901","4호선","당고개","10656","9154","20230904",""
"20230901","3호선","오금","7548","6739","20230904",""
"20230901","3호선","경찰병원","8628","8456","20230904",""
"20230901","3호선","가락시장","10532","10274","20230904",""
"20230901","3호선","수서","21422","21620","20230904",""
"20230901","3호선","일원","12738","11768","20230904",""
"20230901","3호선","대청","12195","11325","20230904",""
"20230901","3호선","학여울","5024","5234","20230904",""
